State,Year,Quarter,District,Trans_count,Trans_amount
andaman-&-nicobar-islands,2018,1,south andaman,5688,29277839174.0
andaman-&-nicobar-islands,2018,1,nicobars,528,29277839174.0
andaman-&-nicobar-islands,2018,1,north and middle andaman,442,29277839174.0
andaman-&-nicobar-islands,2018,2,south andaman,9395,29277839174.0
andaman-&-nicobar-islands,2018,2,nicobars,1120,29277839174.0
andaman-&-nicobar-islands,2018,2,north and middle andaman,825,29277839174.0
andaman-&-nicobar-islands,2018,3,south andaman,13511,29277839174.0
andaman-&-nicobar-islands,2018,3,nicobars,1471,29277839174.0
andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,29277839174.0
andaman-&-nicobar-islands,2018,4,south andaman,20136,29277839174.0
andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,29277839174.0
andaman-&-nicobar-islands,2018,4,nicobars,1485,29277839174.0
andaman-&-nicobar-islands,2019,1,south andaman,25683,29277839174.0
andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,29277839174.0
andaman-&-nicobar-islands,2019,1,nicobars,1539,29277839174.0
andaman-&-nicobar-islands,2019,2,south andaman,28490,29277839174.0
andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,29277839174.0
andaman-&-nicobar-islands,2019,2,nicobars,1828,29277839174.0
andaman-&-nicobar-islands,2019,3,south andaman,27421,29277839174.0
andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,29277839174.0
andaman-&-nicobar-islands,2019,3,nicobars,2300,29277839174.0
andaman-&-nicobar-islands,2019,4,south andaman,27843,29277839174.0
andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,29277839174.0
andaman-&-nicobar-islands,2019,4,nicobars,2600,29277839174.0
andaman-&-nicobar-islands,2020,1,south andaman,32713,29277839174.0
andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,29277839174.0
andaman-&-nicobar-islands,2020,1,nicobars,2911,29277839174.0
andaman-&-nicobar-islands,2020,2,south andaman,48088,29277839174.0
andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,29277839174.0
andaman-&-nicobar-islands,2020,2,nicobars,3895,29277839174.0
andaman-&-nicobar-islands,2020,3,south andaman,95323,29277839174.0
andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,29277839174.0
andaman-&-nicobar-islands,2020,3,nicobars,5413,29277839174.0
andaman-&-nicobar-islands,2020,4,south andaman,186494,29277839174.0
andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,29277839174.0
andaman-&-nicobar-islands,2020,4,nicobars,8688,29277839174.0
andaman-&-nicobar-islands,2021,1,south andaman,207092,29277839174.0
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,29277839174.0
andaman-&-nicobar-islands,2021,1,nicobars,10302,29277839174.0
andaman-&-nicobar-islands,2021,2,south andaman,286907,29277839174.0
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,29277839174.0
andaman-&-nicobar-islands,2021,2,nicobars,15307,29277839174.0
andaman-&-nicobar-islands,2021,3,south andaman,382418,29277839174.0
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,29277839174.0
andaman-&-nicobar-islands,2021,3,nicobars,20754,29277839174.0
andaman-&-nicobar-islands,2021,4,south andaman,558571,29277839174.0
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,29277839174.0
andaman-&-nicobar-islands,2021,4,nicobars,24437,29277839174.0
andaman-&-nicobar-islands,2022,1,south andaman,705512,29277839174.0
andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,29277839174.0
andaman-&-nicobar-islands,2022,1,nicobars,29177,29277839174.0
andaman-&-nicobar-islands,2022,2,south andaman,954875,29277839174.0
andaman-&-nicobar-islands,2022,2,north and middle andaman,72573,29277839174.0
andaman-&-nicobar-islands,2022,2,nicobars,43769,29277839174.0
andaman-&-nicobar-islands,2022,3,south andaman,1455255,29277839174.0
andaman-&-nicobar-islands,2022,3,north and middle andaman,79574,29277839174.0
andaman-&-nicobar-islands,2022,3,nicobars,49550,29277839174.0
andaman-&-nicobar-islands,2022,4,south andaman,1835592,29277839174.0
andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,29277839174.0
andaman-&-nicobar-islands,2022,4,nicobars,58646,29277839174.0
andaman-&-nicobar-islands,2023,1,south andaman,2030078,29277839174.0
andaman-&-nicobar-islands,2023,1,north and middle andaman,152187,29277839174.0
andaman-&-nicobar-islands,2023,1,nicobars,94127,29277839174.0
andaman-&-nicobar-islands,2023,2,south andaman,2417058,29277839174.0
andaman-&-nicobar-islands,2023,2,north and middle andaman,181149,29277839174.0
andaman-&-nicobar-islands,2023,2,nicobars,109568,29277839174.0
andaman-&-nicobar-islands,2023,3,south andaman,2771397,29277839174.0
andaman-&-nicobar-islands,2023,3,north and middle andaman,198547,29277839174.0
andaman-&-nicobar-islands,2023,3,nicobars,128432,29277839174.0
andaman-&-nicobar-islands,2023,4,south andaman,3311962,29277839174.0
andaman-&-nicobar-islands,2023,4,north and middle andaman,230234,29277839174.0
andaman-&-nicobar-islands,2023,4,nicobars,153587,29277839174.0
andaman-&-nicobar-islands,2024,1,south andaman,3751724,29277839174.0
andaman-&-nicobar-islands,2024,1,north and middle andaman,266400,29277839174.0
andaman-&-nicobar-islands,2024,1,nicobars,166796,29277839174.0
andhra-pradesh,2018,1,visakhapatnam,1256469,29277839174.0
andhra-pradesh,2018,1,east godavari,943935,29277839174.0
andhra-pradesh,2018,1,krishna,863935,29277839174.0
andhra-pradesh,2018,1,chittoor,830324,29277839174.0
andhra-pradesh,2018,1,guntur,815932,29277839174.0
andhra-pradesh,2018,1,kurnool,679623,29277839174.0
andhra-pradesh,2018,1,anantapur,638664,29277839174.0
andhra-pradesh,2018,1,west godavari,577090,29277839174.0
andhra-pradesh,2018,1,prakasam,534757,29277839174.0
andhra-pradesh,2018,1,spsr nellore,531612,29277839174.0
andhra-pradesh,2018,2,visakhapatnam,1641192,29277839174.0
andhra-pradesh,2018,2,krishna,1224987,29277839174.0
andhra-pradesh,2018,2,east godavari,1221677,29277839174.0
andhra-pradesh,2018,2,chittoor,1185723,29277839174.0
